"deploymentID","speciesScientificName","year","Latitude","Longitude"
"TEAMS_CT-BBS-1-01","Muntiacus muntjak",2010,-5.694427,104.421008
"TEAMS_CT-BBS-1-01","Macaca nemestrina",2010,-5.694427,104.421008
"TEAMS_CT-BBS-1-01","Helarctos malayanus",2010,-5.694427,104.421008
"TEAMS_CT-BBS-1-02","Rusa unicolor",2010,-5.694696,104.433718
"TEAMS_CT-BBS-1-02","Muntiacus muntjak",2010,-5.694696,104.433718
"TEAMS_CT-BBS-1-03","Rusa unicolor",2010,-5.694394,104.445535
"TEAMS_CT-BBS-1-03","Muntiacus muntjak",2010,-5.694394,104.445535
"TEAMS_CT-BBS-1-03","Macaca nemestrina",2010,-5.694394,104.445535
"TEAMS_CT-BBS-1-03","Sus scrofa",2010,-5.694394,104.445535
"TEAMS_CT-BBS-1-04","Tragulus napu",2010,-5.681763,104.408092
"TEAMS_CT-BBS-1-04","Macaca nemestrina",2010,-5.681763,104.408092
"TEAMS_CT-BBS-1-04","Muntiacus muntjak",2010,-5.681763,104.408092
"TEAMS_CT-BBS-1-04","Rusa unicolor",2010,-5.681763,104.408092
"TEAMS_CT-BBS-1-04","Sus scrofa",2010,-5.681763,104.408092
"TEAMS_CT-BBS-1-05","Macaca nemestrina",2010,-5.681559,104.42085
"TEAMS_CT-BBS-1-05","Muntiacus muntjak",2010,-5.681559,104.42085
"TEAMS_CT-BBS-1-05","Sus scrofa",2010,-5.681559,104.42085
"TEAMS_CT-BBS-1-06","Sus scrofa",2010,-5.681524,104.433554
"TEAMS_CT-BBS-1-06","Macaca nemestrina",2010,-5.681524,104.433554
"TEAMS_CT-BBS-1-06","Muntiacus muntjak",2010,-5.681524,104.433554
"TEAMS_CT-BBS-1-07","Sus scrofa",2010,-5.681714,104.446115
"TEAMS_CT-BBS-1-07","Muntiacus muntjak",2010,-5.681714,104.446115
"TEAMS_CT-BBS-1-08","Sus scrofa",2010,-5.669013,104.408272
"TEAMS_CT-BBS-1-08","Muntiacus muntjak",2010,-5.669013,104.408272
"TEAMS_CT-BBS-1-08","Rusa unicolor",2010,-5.669013,104.408272
"TEAMS_CT-BBS-1-10","Muntiacus muntjak",2010,-5.669275,104.433681
"TEAMS_CT-BBS-1-10","Tapirus indicus",2010,-5.669275,104.433681
"TEAMS_CT-BBS-1-10","Tragulus napu",2010,-5.669275,104.433681
"TEAMS_CT-BBS-1-10","Macaca nemestrina",2010,-5.669275,104.433681
"TEAMS_CT-BBS-1-11","Tragulus napu",2010,-5.669132,104.44603
"TEAMS_CT-BBS-1-12","Tragulus javanicus",2010,-5.656309,104.395518
"TEAMS_CT-BBS-1-12","Macaca nemestrina",2010,-5.656309,104.395518
"TEAMS_CT-BBS-1-12","Muntiacus muntjak",2010,-5.656309,104.395518
"TEAMS_CT-BBS-1-13","Symphalangus syndactylus",2010,-5.656407,104.421031
"TEAMS_CT-BBS-1-13","Macaca nemestrina",2010,-5.656407,104.421031
"TEAMS_CT-BBS-1-13","Muntiacus muntjak",2010,-5.656407,104.421031
"TEAMS_CT-BBS-1-14","Macaca nemestrina",2010,-5.656527,104.433537
"TEAMS_CT-BBS-1-14","Manis javanica",2010,-5.656527,104.433537
"TEAMS_CT-BBS-1-14","Sus scrofa",2010,-5.656527,104.433537
"TEAMS_CT-BBS-1-15","Sus scrofa",2010,-5.656405,104.446102
"TEAMS_CT-BBS-1-15","Macaca nemestrina",2010,-5.656405,104.446102
"TEAMS_CT-BBS-1-15","Muntiacus muntjak",2010,-5.656405,104.446102
"TEAMS_CT-BBS-1-16","Macaca nemestrina",2010,-5.656327,104.458788
"TEAMS_CT-BBS-1-17","Muntiacus muntjak",2010,-5.643724,104.395621
"TEAMS_CT-BBS-1-17","Macaca nemestrina",2010,-5.643724,104.395621
"TEAMS_CT-BBS-1-17","Sus scrofa",2010,-5.643724,104.395621
"TEAMS_CT-BBS-1-17","Rusa unicolor",2010,-5.643724,104.395621
"TEAMS_CT-BBS-1-17","Tragulus javanicus",2010,-5.643724,104.395621
"TEAMS_CT-BBS-1-18","Muntiacus muntjak",2010,-5.643975,104.408342
"TEAMS_CT-BBS-1-18","Sus scrofa",2010,-5.643975,104.408342
"TEAMS_CT-BBS-1-18","Macaca nemestrina",2010,-5.643975,104.408342
"TEAMS_CT-BBS-1-18","Panthera tigris",2010,-5.643975,104.408342
"TEAMS_CT-BBS-1-19","Muntiacus muntjak",2010,-5.643922,104.420637
"TEAMS_CT-BBS-1-20","Muntiacus muntjak",2010,-5.631419,104.40812
"TEAMS_CT-BBS-1-20","Macaca nemestrina",2010,-5.631419,104.40812
"TEAMS_CT-BBS-1-21","Macaca nemestrina",2010,-5.631356,104.420909
"TEAMS_CT-BBS-1-21","Muntiacus muntjak",2010,-5.631356,104.420909
"TEAMS_CT-BBS-1-21","Prionailurus bengalensis",2010,-5.631356,104.420909
"TEAMS_CT-BBS-1-21","Rusa unicolor",2010,-5.631356,104.420909
"TEAMS_CT-BBS-1-21","Tragulus javanicus",2010,-5.631356,104.420909
"TEAMS_CT-BBS-1-21","Sus scrofa",2010,-5.631356,104.420909
"TEAMS_CT-BBS-1-22","Macaca nemestrina",2010,-5.630914,104.433444
"TEAMS_CT-BBS-1-23","Tragulus napu",2010,-5.631083,104.445986
"TEAMS_CT-BBS-1-23","Macaca nemestrina",2010,-5.631083,104.445986
"TEAMS_CT-BBS-1-24","Muntiacus muntjak",2010,-5.618617,104.420956
"TEAMS_CT-BBS-1-24","Macaca nemestrina",2010,-5.618617,104.420956
"TEAMS_CT-BBS-1-24","Panthera tigris",2010,-5.618617,104.420956
"TEAMS_CT-BBS-1-24","Tragulus javanicus",2010,-5.618617,104.420956
"TEAMS_CT-BBS-1-24","Elephas maximus",2010,-5.618617,104.420956
"TEAMS_CT-BBS-1-25","Muntiacus muntjak",2010,-5.618323,104.433665
"TEAMS_CT-BBS-1-25","Macaca nemestrina",2010,-5.618323,104.433665
"TEAMS_CT-BBS-1-25","Helarctos malayanus",2010,-5.618323,104.433665
"TEAMS_CT-BBS-1-26","Symphalangus syndactylus",2010,-5.618467,104.446149
"TEAMS_CT-BBS-1-26","Muntiacus muntjak",2010,-5.618467,104.446149
"TEAMS_CT-BBS-1-26","Macaca nemestrina",2010,-5.618467,104.446149
"TEAMS_CT-BBS-1-26","Sus scrofa",2010,-5.618467,104.446149
"TEAMS_CT-BBS-1-26","Cuon alpinus",2010,-5.618467,104.446149
"TEAMS_CT-BBS-1-27","Macaca nemestrina",2010,-5.618496,104.458847
"TEAMS_CT-BBS-1-29","Macaca nemestrina",2010,-5.605923,104.446186
"TEAMS_CT-BBS-1-29","Muntiacus muntjak",2010,-5.605923,104.446186
"TEAMS_CT-BBS-1-30","Macaca nemestrina",2010,-5.605961,104.458913
"TEAMS_CT-BBS-2-01","Macaca nemestrina",2010,-5.71968055,104.5093878
"TEAMS_CT-BBS-2-01","Sus scrofa",2010,-5.71968055,104.5093878
"TEAMS_CT-BBS-2-01","Tragulus javanicus",2010,-5.71968055,104.5093878
"TEAMS_CT-BBS-2-01","Rusa unicolor",2010,-5.71968055,104.5093878
"TEAMS_CT-BBS-2-02","Sus scrofa",2010,-5.70729319,104.5095149
"TEAMS_CT-BBS-2-02","Tapirus indicus",2010,-5.70729319,104.5095149
"TEAMS_CT-BBS-2-02","Muntiacus muntjak",2010,-5.70729319,104.5095149
"TEAMS_CT-BBS-2-02","Tragulus javanicus",2010,-5.70729319,104.5095149
"TEAMS_CT-BBS-2-03","Muntiacus muntjak",2010,-5.70713083,104.5218985
"TEAMS_CT-BBS-2-03","Macaca nemestrina",2010,-5.70713083,104.5218985
"TEAMS_CT-BBS-2-03","Rusa unicolor",2010,-5.70713083,104.5218985
"TEAMS_CT-BBS-2-04","Tragulus napu",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-04","Catopuma temminckii",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-04","Macaca nemestrina",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-04","Neofelis diardi",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-04","Muntiacus muntjak",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-04","Rusa unicolor",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-04","Sus scrofa",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-04","Tragulus javanicus",2010,-5.70754331,104.5347055
"TEAMS_CT-BBS-2-05","Macaca nemestrina",2010,-5.69387963,104.4957302
"TEAMS_CT-BBS-2-05","Tragulus javanicus",2010,-5.69387963,104.4957302
"TEAMS_CT-BBS-2-05","Sus scrofa",2010,-5.69387963,104.4957302
"TEAMS_CT-BBS-2-05","Helarctos malayanus",2010,-5.69387963,104.4957302
"TEAMS_CT-BBS-2-05","Muntiacus muntjak",2010,-5.69387963,104.4957302
"TEAMS_CT-BBS-2-05","Panthera tigris",2010,-5.69387963,104.4957302
"TEAMS_CT-BBS-2-06","Prionodon linsang",2010,-5.69461347,104.5093815
"TEAMS_CT-BBS-2-06","Rusa unicolor",2010,-5.69461347,104.5093815
"TEAMS_CT-BBS-2-07","Macaca nemestrina",2010,-5.69429252,104.5216472
"TEAMS_CT-BBS-2-07","Arctogalidia trivirgata",2010,-5.69429252,104.5216472
"TEAMS_CT-BBS-2-07","Sus scrofa",2010,-5.69429252,104.5216472
"TEAMS_CT-BBS-2-07","Tragulus javanicus",2010,-5.69429252,104.5216472
"TEAMS_CT-BBS-2-08","Muntiacus muntjak",2010,-5.69435631,104.534497
"TEAMS_CT-BBS-2-08","Sus scrofa",2010,-5.69435631,104.534497
"TEAMS_CT-BBS-2-08","Rusa unicolor",2010,-5.69435631,104.534497
"TEAMS_CT-BBS-2-09","Tragulus javanicus",2010,-5.68187012,104.4587983
"TEAMS_CT-BBS-2-09","Macaca nemestrina",2010,-5.68187012,104.4587983
"TEAMS_CT-BBS-2-09","Manis javanica",2010,-5.68187012,104.4587983
"TEAMS_CT-BBS-2-09","Sus scrofa",2010,-5.68187012,104.4587983
"TEAMS_CT-BBS-2-10","Macaca nemestrina",2010,-5.6819749,104.484013
"TEAMS_CT-BBS-2-10","Sus scrofa",2010,-5.6819749,104.484013
"TEAMS_CT-BBS-2-10","Tapirus indicus",2010,-5.6819749,104.484013
"TEAMS_CT-BBS-2-10","Rusa unicolor",2010,-5.6819749,104.484013
"TEAMS_CT-BBS-2-10","Panthera tigris",2010,-5.6819749,104.484013
"TEAMS_CT-BBS-2-10","Tragulus javanicus",2010,-5.6819749,104.484013
"TEAMS_CT-BBS-2-11","Sus scrofa",2010,-5.68125556,104.4967024
"TEAMS_CT-BBS-2-11","Muntiacus muntjak",2010,-5.68125556,104.4967024
"TEAMS_CT-BBS-2-11","Rusa unicolor",2010,-5.68125556,104.4967024
"TEAMS_CT-BBS-2-11","Macaca nemestrina",2010,-5.68125556,104.4967024
"TEAMS_CT-BBS-2-12","Rusa unicolor",2010,-5.68165161,104.5092955
"TEAMS_CT-BBS-2-12","Muntiacus muntjak",2010,-5.68165161,104.5092955
"TEAMS_CT-BBS-2-12","Macaca nemestrina",2010,-5.68165161,104.5092955
"TEAMS_CT-BBS-2-12","Tragulus javanicus",2010,-5.68165161,104.5092955
"TEAMS_CT-BBS-2-13","Paguma larvata",2010,-5.68160039,104.5217572
"TEAMS_CT-BBS-2-13","Tragulus javanicus",2010,-5.68160039,104.5217572
"TEAMS_CT-BBS-2-13","Sus scrofa",2010,-5.68160039,104.5217572
"TEAMS_CT-BBS-2-13","Muntiacus muntjak",2010,-5.68160039,104.5217572
"TEAMS_CT-BBS-2-13","Catopuma temminckii",2010,-5.68160039,104.5217572
"TEAMS_CT-BBS-2-13","Macaca fascicularis",2010,-5.68160039,104.5217572
"TEAMS_CT-BBS-2-14","Macaca nemestrina",2010,-5.66909141,104.4587355
"TEAMS_CT-BBS-2-14","Muntiacus muntjak",2010,-5.66909141,104.4587355
"TEAMS_CT-BBS-2-15","Sus scrofa",2010,-5.66917799,104.4713632
"TEAMS_CT-BBS-2-15","Rusa unicolor",2010,-5.66917799,104.4713632
"TEAMS_CT-BBS-2-15","Macaca nemestrina",2010,-5.66917799,104.4713632
"TEAMS_CT-BBS-2-15","Tapirus indicus",2010,-5.66917799,104.4713632
